Solving testing_graphs/data_2_partite_tparisi.csv...
Graph #599/4000: True, time=0.000123s
Graph #600/4000: True, time=0.000121s
Graph #601/4000: False, time=0.000147s
Graph #602/4000: False, time=0.000145s
Graph #603/4000: False, time=0.000147s
Graph #604/4000: False, time=0.000160s
Graph #605/4000: False, time=0.000157s
Graph #606/4000: False, time=0.000156s
Graph #607/4000: True, time=0.000108s
Graph #608/4000: False, time=0.000158s
Graph #609/4000: False, time=0.000144s
Graph #610/4000: False, time=0.000136s
Graph #611/4000: False, time=0.000162s
Graph #612/4000: False, time=0.000148s
Graph #613/4000: False, time=0.000147s
Graph #614/4000: False, time=0.000156s
Graph #615/4000: False, time=0.000156s
Graph #616/4000: False, time=0.000151s
Graph #617/4000: False, time=0.000154s
Graph #618/4000: False, time=0.000156s
Graph #619/4000: False, time=0.000143s
Graph #620/4000: True, time=0.000116s
Graph #621/4000: False, time=0.000169s
Graph #622/4000: False, time=0.000160s
Graph #623/4000: False, time=0.000158s
Graph #624/4000: False, time=0.000174s
Graph #625/4000: False, time=0.000164s
Graph #626/4000: False, time=0.000150s
Graph #627/4000: False, time=0.000154s
Graph #628/4000: False, time=0.000164s
Graph #629/4000: False, time=0.000148s
Graph #630/4000: False, time=0.000164s
Graph #631/4000: False, time=0.000159s
Graph #632/4000: False, time=0.000167s
Graph #633/4000: False, time=0.000160s
Graph #634/4000: False, time=0.000151s
Graph #635/4000: False, time=0.000153s
Graph #636/4000: False, time=0.000160s
Graph #637/4000: False, time=0.000164s
Graph #638/4000: False, time=0.000154s
Graph #639/4000: False, time=0.000156s
Graph #640/4000: False, time=0.000167s
Graph #641/4000: False, time=0.000146s
Graph #642/4000: False, time=0.000115s
Graph #643/4000: False, time=0.000126s
Graph #644/4000: False, time=0.000104s
Graph #645/4000: False, time=0.000110s
Graph #646/4000: False, time=0.000125s
Graph #647/4000: False, time=0.000146s
Graph #648/4000: False, time=0.000106s
Graph #649/4000: False, time=0.000101s
Graph #650/4000: False, time=0.000126s
Graph #651/4000: False, time=0.000108s
Graph #652/4000: False, time=0.000149s
Graph #653/4000: False, time=0.000125s
Graph #654/4000: False, time=0.000116s
Graph #655/4000: False, time=0.000118s
Graph #656/4000: False, time=0.000126s
Graph #657/4000: False, time=0.000112s
Graph #658/4000: False, time=0.000112s
Graph #659/4000: False, time=0.000124s
Graph #660/4000: False, time=0.000124s
Graph #661/4000: False, time=0.000129s
Graph #662/4000: False, time=0.000137s
Graph #663/4000: False, time=0.000135s
Graph #664/4000: False, time=0.000134s
Graph #665/4000: False, time=0.000133s
Graph #666/4000: False, time=0.000115s
Graph #667/4000: False, time=0.000117s
Graph #668/4000: False, time=0.000167s
Graph #669/4000: False, time=0.000123s
Graph #670/4000: False, time=0.000121s
Graph #671/4000: False, time=0.000128s
Graph #672/4000: False, time=0.000119s
Graph #673/4000: False, time=0.000107s
Graph #674/4000: False, time=0.000122s
Graph #675/4000: False, time=0.000139s
Graph #676/4000: False, time=0.000109s
Graph #677/4000: False, time=0.000161s
Graph #678/4000: False, time=0.000144s
Graph #679/4000: False, time=0.000149s
Graph #680/4000: False, time=0.000132s
Graph #681/4000: False, time=0.000172s
Graph #682/4000: False, time=0.000161s
Graph #683/4000: False, time=0.000161s
Graph #684/4000: False, time=0.000161s
Graph #685/4000: False, time=0.000126s
Graph #686/4000: False, time=0.000137s
Graph #687/4000: False, time=0.000153s
Graph #688/4000: False, time=0.000159s
Graph #689/4000: False, time=0.000162s
Graph #690/4000: False, time=0.000141s
Graph #691/4000: False, time=0.000182s
Graph #692/4000: False, time=0.000179s
Graph #693/4000: False, time=0.000124s
Graph #694/4000: False, time=0.000147s
Graph #695/4000: False, time=0.000154s
Graph #696/4000: False, time=0.000167s
Graph #697/4000: False, time=0.000144s
Graph #698/4000: False, time=0.000162s
Graph #699/4000: False, time=0.000155s
Graph #700/4000: False, time=0.000130s
Graph #701/4000: False, time=0.000145s
Graph #702/4000: False, time=0.000166s
Graph #703/4000: False, time=0.000172s
Graph #704/4000: False, time=0.000154s
Graph #705/4000: False, time=0.000160s
Graph #706/4000: False, time=0.000148s
Graph #707/4000: False, time=0.000142s
Graph #708/4000: False, time=0.000149s
Graph #709/4000: False, time=0.000166s
Graph #710/4000: False, time=0.000163s
Graph #711/4000: False, time=0.000166s
Graph #712/4000: False, time=0.000155s
Graph #713/4000: False, time=0.000133s
Graph #714/4000: False, time=0.000160s
Graph #715/4000: False, time=0.000158s
Graph #716/4000: False, time=0.000130s
Graph #717/4000: False, time=0.000158s
Graph #718/4000: False, time=0.000135s
Graph #719/4000: False, time=0.000152s
Graph #720/4000: False, time=0.000164s
Graph #721/4000: False, time=0.000304s
Graph #722/4000: False, time=0.000516s
Graph #723/4000: False, time=0.000301s
Graph #724/4000: False, time=0.000308s
Graph #725/4000: False, time=0.000310s
Graph #726/4000: False, time=0.000326s
Graph #727/4000: False, time=0.000298s
Graph #728/4000: True, time=0.000215s
